,error rate,total produced,production speed [PC / min]
2750,0.08922464396916951,19591,41.861111111111114
2754,0.8533653846153846,416,21.894736842105264
2755,0.0782128514056225,19920,41.5
2756,0.048902294303797465,20224,42.13333333333333
2757,0.07026085173986574,19513,40.65208333333333
2758,0.07394592457120261,20231,42.14791666666667
2759,0.12953507121741467,18605,38.760416666666664
2760,0.06093080220453154,19596,40.825
2761,0.07557248132944261,20219,42.12291666666667
2762,0.09469524243806049,19737,41.11875
2763,0.10712587818921346,18931,39.43958333333333
2764,0.08701022777805227,20239,42.16458333333333
2765,0.10925032880315651,11405,23.760416666666668
2766,0.09815201343990225,19643,40.922916666666666
2767,0.8560480530240265,4828,84.70175438596492
2776,0.299354574326401,9761,39.51821862348178
2777,0.22487797514215266,19873,41.40208333333333
2778,0.09774590163934427,19520,40.666666666666664
2779,0.0712767534971084,20231,42.14791666666667
2780,0.2088520758168606,19679,40.99791666666667
2781,0.14374752671151564,20216,42.11666666666667
2782,0.07413416536661467,16025,42.171052631578945
2793,0.1568852812297967,13921,37.62432432432433
2794,0.11858297078931013,8045,16.760416666666668
2795,0.27601597369039227,17028,35.475
2796,0.08622562457973414,19333,40.27708333333333
2797,0.21224698949526005,19515,40.65625
2798,0.2349567157044984,18829,39.22708333333333
2799,0.07156262346898459,20248,42.18333333333333
2800,0.11923975366319813,18836,39.24166666666667
2801,0.0641189905854827,17951,42.237647058823526
2807,0.9472759226713533,569,16.735294117647058
2808,0.09125430164946007,16854,41.71782178217822
2811,0.3523454157782516,7504,23.746835443037973
2812,0.14041900868676546,19570,40.770833333333336
2813,0.10277599089514573,20209,42.10208333333333
2814,0.177358132472955,10538,21.954166666666666
2816,0.05032866676702293,19929,41.51875
2817,0.07731311812842011,19919,41.49791666666667
2818,0.3656802777318565,12098,25.204166666666666
2819,0.08743787826600403,20323,42.33958333333333
2820,0.07385229540918163,21042,43.8375
2821,0.0686435205880892,20133,41.94375
2822,0.06001787132644956,20144,41.96666666666667
2823,0.08877782357790602,19408,40.43333333333333
2824,0.006984240687679083,16752,34.9
2825,0.0841436793014487,20156,41.99166666666667
2826,0.18016495056605708,19521,40.66875
2827,0.37721454173067076,19530,40.6875
2828,0.03907782864617397,6116,42.179310344827584
2837,0.8266897746967071,577,27.476190476190474
2838,0.06765652066320217,20205,42.09375
2839,0.05282701257550253,20198,42.079166666666666
2840,0.08262722486838807,19945,41.552083333333336
2841,0.05618752154429507,20307,42.30625
2842,0.08354305452751049,20265,42.21875
2843,0.12253063265816454,3999,44.93258426966292
2847,0.16743739638774977,11461,39.65743944636678
2848,0.11186018773012497,19283,40.172916666666666
2849,0.12410225503490532,19911,41.48125
2850,0.2003471948236408,12673,41.9635761589404
2855,0.6215083798882681,5012,39.15625
2856,0.1510398037913239,19571,40.77291666666667
2857,0.1312847761792571,19949,41.56041666666667
2858,0.1554318386999699,19938,41.5375
2859,0.14746617994417008,18628,38.80833333333333
2860,0.1531964226565088,6038,43.128571428571426
2863,0.1799163179916318,21988,48.753880266075384
2864,0.14067142008318478,20196,42.075
2865,0.13022009770447024,19037,39.66041666666667
2866,0.029324498071407377,20222,42.12916666666667
2867,0.040245254712673664,15331,42.46814404432133
2872,0.1396245634458673,13744,40.06997084548105
2873,0.21081331344204948,19439,40.49791666666667
2874,0.2085955661393661,17637,36.74375
2875,0.1509165613147914,18984,39.55
2876,0.10035063459923947,20249,42.18541666666667
2877,0.22675709001233046,16220,33.791666666666664
2878,0.1526031355342715,18689,38.93541666666667
2879,0.2055625923580325,18948,39.475
2880,0.31644661308840416,13936,29.033333333333335
2881,0.05640417222798952,20229,42.14375
2882,0.12129857353664535,20330,42.354166666666664
2883,0.06540607563546187,19356,40.325
2884,0.056186491332934844,3346,43.45454545454545
2888,0.09384914543035514,9771,38.92828685258964
2889,0.04018485031143259,19908,41.475
2890,0.11199549200535325,14197,29.577083333333334
2891,0.21058629137940857,17551,36.56458333333333
2892,0.08200672927233466,19913,41.485416666666666
2893,0.09211568938193344,20192,42.06666666666667
2894,0.11691382962999458,20297,42.28541666666667
