Line,production day,shift,from,till,Code,Stof-Snelheid-Profiel,IO parts,NIO parts
103,2/16/2022,early,16/02/22 5:55,16/02/22 13:55,3005,FX-16m-37.xxx,6889,1072
103,2/16/2022,late,16/02/22 13:55,16/02/22 21:55,3005,FX-16m-37.xxx,6479,1491
103,2/16/2022,night,16/02/22 21:55,17/02/22 5:55,3005,FX-16m-37.xxx,6752,1234
103,2/17/2022,early,17/02/22 5:55,17/02/22 10:50,3005,FX-16m-37.xxx,4436,550
103,2/17/2022,early,17/02/22 10:50,17/02/22 13:55,3006,FX-16m-37.xxx,2704,315
103,2/17/2022,late,17/02/22 13:55,17/02/22 21:55,3006,FX-16m-37.xxx,7328,759
103,2/17/2022,night,17/02/22 21:55,18/02/22 5:55,3006,FX-16m-37.xxx,6934,1128
103,2/18/2022,early,18/02/22 5:55,18/02/22 8:57,3006,FX-16m-37.xxx,2688,385
103,2/18/2022,early,18/02/22 8:57,18/02/22 13:55,3005,FX-16m-37.xxx,1332,1215
103,2/18/2022,late,18/02/22 13:55,18/02/22 21:55,3005,FX-16m-37.xxx,7054,649
103,2/18/2022,night,18/02/22 21:55,19/02/22 5:55,3005,FX-16m-37.xxx,6332,1498
103,2/21/2022,early,21/02/22 5:55,21/02/22 13:55,3052,NU-22m-68.xxx,8688,1950
103,2/21/2022,late,21/02/22 13:55,21/02/22 21:55,3052,NU-22m-68.xxx,9907,1348
103,2/21/2022,night,21/02/22 21:55,22/02/22 5:55,3052,NU-22m-68.xxx,10107,1146
103,2/22/2022,early,22/02/22 5:55,22/02/22 13:55,3052,NU-22m-68.xxx,9436,1817
103,2/22/2022,late,22/02/22 13:55,22/02/22 13:58,3052,NU-22m-68.xxx,91,2
103,2/22/2022,late,22/02/22 13:58,22/02/22 19:10,3005,FX-16m-37.xxx,2840,1007
103,2/22/2022,late,22/02/22 19:10,22/02/22 21:55,3004,FX-14m-18.xx,1693,573
103,2/22/2022,night,22/02/22 21:55,23/02/22 5:55,3004,FX-14m-18.xx,6344,733
103,2/23/2022,early,23/02/22 5:55,23/02/22 8:14,3004,FX-14m-18.xx,1929,194
103,2/23/2022,early,23/02/22 8:14,23/02/22 13:55,3006,FX-16m-37.xxx,4852,421
103,2/23/2022,late,23/02/22 13:55,23/02/22 21:55,3006,FX-16m-37.xxx,7361,860
103,2/23/2022,night,23/02/22 21:55,23/02/22 23:26,3006,FX-16m-37.xxx,1485,78
103,2/23/2022,night,23/02/22 23:26,24/02/22 5:55,3005,FX-16m-37.xxx,5494,822
103,2/24/2022,early,24/02/22 5:55,24/02/22 13:55,3005,FX-16m-37.xxx,7412,672
103,2/24/2022,late,24/02/22 13:55,24/02/22 21:55,3005,FX-16m-37.xxx,6660,1420
103,2/24/2022,night,24/02/22 21:55,25/02/22 5:55,3005,FX-16m-37.xxx,7351,795
103,2/25/2022,early,25/02/22 5:55,25/02/22 13:00,3005,FX-16m-37.xxx,6403,842
103,2/25/2022,early,25/02/22 13:00,25/02/22 13:55,3006,FX-16m-37.xxx,436,278
103,2/25/2022,late,25/02/22 13:55,25/02/22 21:55,3006,FX-16m-37.xxx,7518,571
103,2/25/2022,night,25/02/22 21:55,26/02/22 5:55,3006,FX-16m-37.xxx,6687,1372
103,2/26/2022,early,26/02/22 5:55,26/02/22 13:55,3006,FX-16m-37.xxx,6981,703
103,2/27/2022,night,27/02/22 21:55,28/02/22 5:55,3006,FX-16m-37.xxx,7113,762
103,2/28/2022,early,28/02/22 5:55,28/02/22 13:55,3006,FX-16m-37.xxx,7512,548
103,2/28/2022,late,28/02/22 13:55,28/02/22 21:55,3006,FX-16m-37.xxx,7307,772
103,2/28/2022,night,28/02/22 21:55,1/03/22 3:02,3006,FX-16m-37.xxx,4545,495
103,2/28/2022,night,1/03/22 3:02,1/03/22 5:55,3007,FX-20m-37.xxx,1176,1374
103,3/1/2022,early,1/03/22 5:55,1/03/22 13:55,3007,FX-20m-37.xxx,5309,995
103,3/1/2022,early,1/03/22 8:44,1/03/22 11:32,3008,FX-20m-18.xx,2633,637
103,3/1/2022,late,1/03/22 13:55,1/03/22 21:55,3007,FX-20m-37.xxx,8925,1203
